dataset,sample_id,method,status,baseline_protocol,reproduction_status,native_comparison_available,known_departures,complete_ms,error
UJI,uji2_07539_stroke_00,park_dominant_point_2007_adaptation,ok,adaptation,reproduction_unverified,False,"['Common-MSE stopping replaces the source error-bound protocol; no iterative orthogonal-distance parameter update.', 'Degree-compatible shape-seed completion, endpoint knot clamps, and endpoint-constrained refits are repository choices, not independently source-verified.', 'Discrete Menger curvature and incremental LCM-seed consumption have not been checked against an author-code reference.']",13.785099959932268,
UJI,uji2_07539_stroke_00,liang_feature_iki_2017_adaptation,ok,adaptation,reproduction_unverified,False,"['The normalized arc/unsigned-turning-angle feature blend (default 0.5) is a repository construction, not a verified original equation.', 'Sampled feature-CDF inversion and worst-residual span bisection replace unverified analytic-feature/IKI details.', 'Common-MSE stopping, dense/initial knot counts, and endpoint-constrained fits are comparison settings.']",10.932600009255111,
UJI,uji2_07539_stroke_00,dung_direct_knot_2017_adaptation,ok,adaptation,reproduction_unverified,False,"[""Only simple knots are optimized; the author's multiplicity 1..degree+1 and joining-angle/continuity classifier are absent."", 'Only serial splitting is implemented; parallel split/join/shift is absent (serial is itself a published variant).', 'The shared comparison knot budget is external to the source algorithm; overflow now fails explicitly rather than silently subsampling coarse breaks.', 'The returned final curve now preserves unconstrained least squares; multiplicity and solver equivalence remain unverified.', 'sqrt(mse_tolerance) is not an equivalent native maximum-error constraint; finite-difference solver/search and short-tail guards are repository choices.']",132.84679997013882,
UJI,uji2_07539_stroke_00,kang_sparse_2015_adaptation,ok,adaptation,reproduction_unverified,False,"['Scalar constrained l1 optimization is changed to vector group-l1 with approximate ADMM/penalty bisection instead of the source CVX solve.', 'Algorithms 1/3 (repeated convex solves for general-data relocation) are absent; the current default is the limited Algorithms-4/5 variant, not that general algorithm.', 'An absolute floating-point jump cutoff remains a solver setting; relative-maximum filtering, degree+1 retention, expanded spacing, and singleton interval search are disabled by default.', 'The final unconstrained spline is now preserved; this does not restore the omitted general-data stage or original scalar objective.']",2662.7499000169337,
UJI,uji2_07539_stroke_00,luo_linf_de_2022_adaptation,ok,adaptation,reproduction_unverified,False,"['Regularization is selected by a common-MSE search instead of a verified source-paper parameter protocol.', 'DE fitness and the reported spline use endpoint-constrained least squares; a source-native solver/output is not preserved.', 'Minimum-gap projections, random population initialization, and finite DE budgets are unverified implementation choices; the forced-largest-jump fallback is now disabled.', 'The ADMM realization, local-maxima edge cases, and DE variant have no author-code/paper-example equivalence validation.']",6655.31150001334,
NaturalEarth,natural_earth_10m_coastline_625e1d04cc46_w000_625e1d04,park_dominant_point_2007_adaptation,ok,adaptation,reproduction_unverified,False,"['Common-MSE stopping replaces the source error-bound protocol; no iterative orthogonal-distance parameter update.', 'Degree-compatible shape-seed completion, endpoint knot clamps, and endpoint-constrained refits are repository choices, not independently source-verified.', 'Discrete Menger curvature and incremental LCM-seed consumption have not been checked against an author-code reference.']",119.49599999934435,
NaturalEarth,natural_earth_10m_coastline_625e1d04cc46_w000_625e1d04,liang_feature_iki_2017_adaptation,ok,adaptation,reproduction_unverified,False,"['The normalized arc/unsigned-turning-angle feature blend (default 0.5) is a repository construction, not a verified original equation.', 'Sampled feature-CDF inversion and worst-residual span bisection replace unverified analytic-feature/IKI details.', 'Common-MSE stopping, dense/initial knot counts, and endpoint-constrained fits are comparison settings.']",57.771499967202544,
NaturalEarth,natural_earth_10m_coastline_625e1d04cc46_w000_625e1d04,dung_direct_knot_2017_adaptation,ok,adaptation,reproduction_unverified,False,"[""Only simple knots are optimized; the author's multiplicity 1..degree+1 and joining-angle/continuity classifier are absent."", 'Only serial splitting is implemented; parallel split/join/shift is absent (serial is itself a published variant).', 'The shared comparison knot budget is external to the source algorithm; overflow now fails explicitly rather than silently subsampling coarse breaks.', 'The returned final curve now preserves unconstrained least squares; multiplicity and solver equivalence remain unverified.', 'sqrt(mse_tolerance) is not an equivalent native maximum-error constraint; finite-difference solver/search and short-tail guards are repository choices.']",556.9692999706604,
NaturalEarth,natural_earth_10m_coastline_625e1d04cc46_w000_625e1d04,kang_sparse_2015_adaptation,ok,adaptation,reproduction_unverified,False,"['Scalar constrained l1 optimization is changed to vector group-l1 with approximate ADMM/penalty bisection instead of the source CVX solve.', 'Algorithms 1/3 (repeated convex solves for general-data relocation) are absent; the current default is the limited Algorithms-4/5 variant, not that general algorithm.', 'An absolute floating-point jump cutoff remains a solver setting; relative-maximum filtering, degree+1 retention, expanded spacing, and singleton interval search are disabled by default.', 'The final unconstrained spline is now preserved; this does not restore the omitted general-data stage or original scalar objective.']",1278.6005000234582,
NaturalEarth,natural_earth_10m_coastline_625e1d04cc46_w000_625e1d04,luo_linf_de_2022_adaptation,ok,adaptation,reproduction_unverified,False,"['Regularization is selected by a common-MSE search instead of a verified source-paper parameter protocol.', 'DE fitness and the reported spline use endpoint-constrained least squares; a source-native solver/output is not preserved.', 'Minimum-gap projections, random population initialization, and finite DE budgets are unverified implementation choices; the forced-largest-jump fallback is now disabled.', 'The ADMM realization, local-maxima edge cases, and DE variant have no author-code/paper-example equivalence validation.']",3055.3985000005923,
