dataset,sample_id,method,status,baseline_protocol,reproduction_status,native_comparison_available,known_departures,complete_ms,error
UJI,uji2_07539_stroke_00,park_dominant_point_2007_adaptation,ok,adaptation,reproduction_unverified,False,"['Common-MSE stopping replaces the source error-bound protocol; no iterative orthogonal-distance parameter update.', 'Degree-compatible shape-seed completion, endpoint knot clamps, and endpoint-constrained refits are repository choices, not independently source-verified.', 'Discrete Menger curvature and incremental LCM-seed consumption have not been checked against an author-code reference.']",19.58830002695322,
UJI,uji2_07539_stroke_00,liang_feature_iki_2017_adaptation,ok,adaptation,reproduction_unverified,False,"['The normalized arc/unsigned-turning-angle feature blend (default 0.5) is a repository construction, not a verified original equation.', 'Sampled feature-CDF inversion and worst-residual span bisection replace unverified analytic-feature/IKI details.', 'Common-MSE stopping, dense/initial knot counts, and endpoint-constrained fits are comparison settings.']",9.822899999562651,
UJI,uji2_07539_stroke_00,dung_direct_knot_2017_adaptation,ok,adaptation,reproduction_unverified,False,"[""Only simple knots are optimized; the author's multiplicity 1..degree+1 and joining-angle/continuity classifier are absent."", 'Only serial splitting is implemented; parallel split/join/shift is absent (serial is itself a published variant).', 'The shared comparison knot budget is external to the source algorithm; overflow now fails explicitly rather than silently subsampling coarse breaks.', 'The returned final curve now preserves unconstrained least squares; multiplicity and solver equivalence remain unverified.', 'sqrt(mse_tolerance) is not an equivalent native maximum-error constraint; finite-difference solver/search and short-tail guards are repository choices.']",144.7446999954991,
UJI,uji2_07539_stroke_00,kang_sparse_2015_adaptation,failed,adaptation,reproduction_unverified,False,"['Scalar constrained l1 optimization is changed to vector group-l1 with approximate ADMM/penalty bisection instead of the source CVX solve.', 'Algorithms 1/3 are now the default relocation path, but their repeated sparse solves still use the vector group-l1 finite-ADMM approximation instead of the source scalar CVX solver.', 'An absolute floating-point jump cutoff remains a solver setting; relative-maximum filtering, degree+1 retention, expanded spacing, and singleton interval search are disabled by default.', 'The final unconstrained spline is now preserved; numerical equivalence with the original scalar objective and author examples remains unverified.']",4710.059500008356,ValueError: Kang Algorithm 3 interval sparse solve is infeasible at the fixed Algorithm 1 error 1.36684902e-06 (pair 2); no non-paper fallback or tolerance relaxation was applied
UJI,uji2_07539_stroke_00,luo_linf_de_2022_adaptation,ok,adaptation,reproduction_unverified,False,"['Regularization is selected by a common-MSE search instead of a verified source-paper parameter protocol.', 'DE fitness and the reported spline use endpoint-constrained least squares; a source-native solver/output is not preserved.', 'Minimum-gap projections, random population initialization, and finite DE budgets are unverified implementation choices; the forced-largest-jump fallback is now disabled.', 'The ADMM realization, local-maxima edge cases, and DE variant have no author-code/paper-example equivalence validation.']",5930.435399990529,
NaturalEarth,natural_earth_10m_coastline_625e1d04cc46_w000_625e1d04,park_dominant_point_2007_adaptation,ok,adaptation,reproduction_unverified,False,"['Common-MSE stopping replaces the source error-bound protocol; no iterative orthogonal-distance parameter update.', 'Degree-compatible shape-seed completion, endpoint knot clamps, and endpoint-constrained refits are repository choices, not independently source-verified.', 'Discrete Menger curvature and incremental LCM-seed consumption have not been checked against an author-code reference.']",89.3509000306949,
NaturalEarth,natural_earth_10m_coastline_625e1d04cc46_w000_625e1d04,liang_feature_iki_2017_adaptation,ok,adaptation,reproduction_unverified,False,"['The normalized arc/unsigned-turning-angle feature blend (default 0.5) is a repository construction, not a verified original equation.', 'Sampled feature-CDF inversion and worst-residual span bisection replace unverified analytic-feature/IKI details.', 'Common-MSE stopping, dense/initial knot counts, and endpoint-constrained fits are comparison settings.']",50.3801999730058,
NaturalEarth,natural_earth_10m_coastline_625e1d04cc46_w000_625e1d04,dung_direct_knot_2017_adaptation,ok,adaptation,reproduction_unverified,False,"[""Only simple knots are optimized; the author's multiplicity 1..degree+1 and joining-angle/continuity classifier are absent."", 'Only serial splitting is implemented; parallel split/join/shift is absent (serial is itself a published variant).', 'The shared comparison knot budget is external to the source algorithm; overflow now fails explicitly rather than silently subsampling coarse breaks.', 'The returned final curve now preserves unconstrained least squares; multiplicity and solver equivalence remain unverified.', 'sqrt(mse_tolerance) is not an equivalent native maximum-error constraint; finite-difference solver/search and short-tail guards are repository choices.']",620.9418999496847,
NaturalEarth,natural_earth_10m_coastline_625e1d04cc46_w000_625e1d04,kang_sparse_2015_adaptation,failed,adaptation,reproduction_unverified,False,"['Scalar constrained l1 optimization is changed to vector group-l1 with approximate ADMM/penalty bisection instead of the source CVX solve.', 'Algorithms 1/3 are now the default relocation path, but their repeated sparse solves still use the vector group-l1 finite-ADMM approximation instead of the source scalar CVX solver.', 'An absolute floating-point jump cutoff remains a solver setting; relative-maximum filtering, degree+1 retention, expanded spacing, and singleton interval search are disabled by default.', 'The final unconstrained spline is now preserved; numerical equivalence with the original scalar objective and author examples remains unverified.']",7153.13230000902,ValueError: Kang Algorithm 3 interval sparse solve is infeasible at the fixed Algorithm 1 error 4.9649449e-05 (pair 6); no non-paper fallback or tolerance relaxation was applied
NaturalEarth,natural_earth_10m_coastline_625e1d04cc46_w000_625e1d04,luo_linf_de_2022_adaptation,ok,adaptation,reproduction_unverified,False,"['Regularization is selected by a common-MSE search instead of a verified source-paper parameter protocol.', 'DE fitness and the reported spline use endpoint-constrained least squares; a source-native solver/output is not preserved.', 'Minimum-gap projections, random population initialization, and finite DE budgets are unverified implementation choices; the forced-largest-jump fallback is now disabled.', 'The ADMM realization, local-maxima edge cases, and DE variant have no author-code/paper-example equivalence validation.']",2614.020299981348,
USGS,usgs_tnm_contours_large_scale_9f99fb041980_w000_9f99fb04,park_dominant_point_2007_adaptation,ok,adaptation,reproduction_unverified,False,"['Common-MSE stopping replaces the source error-bound protocol; no iterative orthogonal-distance parameter update.', 'Degree-compatible shape-seed completion, endpoint knot clamps, and endpoint-constrained refits are repository choices, not independently source-verified.', 'Discrete Menger curvature and incremental LCM-seed consumption have not been checked against an author-code reference.']",23.326699971221387,
USGS,usgs_tnm_contours_large_scale_9f99fb041980_w000_9f99fb04,liang_feature_iki_2017_adaptation,ok,adaptation,reproduction_unverified,False,"['The normalized arc/unsigned-turning-angle feature blend (default 0.5) is a repository construction, not a verified original equation.', 'Sampled feature-CDF inversion and worst-residual span bisection replace unverified analytic-feature/IKI details.', 'Common-MSE stopping, dense/initial knot counts, and endpoint-constrained fits are comparison settings.']",19.871499971486628,
USGS,usgs_tnm_contours_large_scale_9f99fb041980_w000_9f99fb04,dung_direct_knot_2017_adaptation,ok,adaptation,reproduction_unverified,False,"[""Only simple knots are optimized; the author's multiplicity 1..degree+1 and joining-angle/continuity classifier are absent."", 'Only serial splitting is implemented; parallel split/join/shift is absent (serial is itself a published variant).', 'The shared comparison knot budget is external to the source algorithm; overflow now fails explicitly rather than silently subsampling coarse breaks.', 'The returned final curve now preserves unconstrained least squares; multiplicity and solver equivalence remain unverified.', 'sqrt(mse_tolerance) is not an equivalent native maximum-error constraint; finite-difference solver/search and short-tail guards are repository choices.']",273.46190001117066,
USGS,usgs_tnm_contours_large_scale_9f99fb041980_w000_9f99fb04,kang_sparse_2015_adaptation,failed,adaptation,reproduction_unverified,False,"['Scalar constrained l1 optimization is changed to vector group-l1 with approximate ADMM/penalty bisection instead of the source CVX solve.', 'Algorithms 1/3 are now the default relocation path, but their repeated sparse solves still use the vector group-l1 finite-ADMM approximation instead of the source scalar CVX solver.', 'An absolute floating-point jump cutoff remains a solver setting; relative-maximum filtering, degree+1 retention, expanded spacing, and singleton interval search are disabled by default.', 'The final unconstrained spline is now preserved; numerical equivalence with the original scalar objective and author examples remains unverified.']",4488.611100008711,ValueError: Kang Algorithm 3 interval sparse solve is infeasible at the fixed Algorithm 1 error 2.19111107e-06 (pair 2); no non-paper fallback or tolerance relaxation was applied
USGS,usgs_tnm_contours_large_scale_9f99fb041980_w000_9f99fb04,luo_linf_de_2022_adaptation,ok,adaptation,reproduction_unverified,False,"['Regularization is selected by a common-MSE search instead of a verified source-paper parameter protocol.', 'DE fitness and the reported spline use endpoint-constrained least squares; a source-native solver/output is not preserved.', 'Minimum-gap projections, random population initialization, and finite DE budgets are unverified implementation choices; the forced-largest-jump fallback is now disabled.', 'The ADMM realization, local-maxima edge cases, and DE variant have no author-code/paper-example equivalence validation.']",6114.321900007781,
IndustrialOffset,industrial_offset_naca_airfoil_v011_o04_p0p0400,park_dominant_point_2007_adaptation,ok,adaptation,reproduction_unverified,False,"['Common-MSE stopping replaces the source error-bound protocol; no iterative orthogonal-distance parameter update.', 'Degree-compatible shape-seed completion, endpoint knot clamps, and endpoint-constrained refits are repository choices, not independently source-verified.', 'Discrete Menger curvature and incremental LCM-seed consumption have not been checked against an author-code reference.']",53.30269999103621,
IndustrialOffset,industrial_offset_naca_airfoil_v011_o04_p0p0400,liang_feature_iki_2017_adaptation,ok,adaptation,reproduction_unverified,False,"['The normalized arc/unsigned-turning-angle feature blend (default 0.5) is a repository construction, not a verified original equation.', 'Sampled feature-CDF inversion and worst-residual span bisection replace unverified analytic-feature/IKI details.', 'Common-MSE stopping, dense/initial knot counts, and endpoint-constrained fits are comparison settings.']",14.199199969880283,
IndustrialOffset,industrial_offset_naca_airfoil_v011_o04_p0p0400,dung_direct_knot_2017_adaptation,ok,adaptation,reproduction_unverified,False,"[""Only simple knots are optimized; the author's multiplicity 1..degree+1 and joining-angle/continuity classifier are absent."", 'Only serial splitting is implemented; parallel split/join/shift is absent (serial is itself a published variant).', 'The shared comparison knot budget is external to the source algorithm; overflow now fails explicitly rather than silently subsampling coarse breaks.', 'The returned final curve now preserves unconstrained least squares; multiplicity and solver equivalence remain unverified.', 'sqrt(mse_tolerance) is not an equivalent native maximum-error constraint; finite-difference solver/search and short-tail guards are repository choices.']",181.65240000234917,
IndustrialOffset,industrial_offset_naca_airfoil_v011_o04_p0p0400,kang_sparse_2015_adaptation,failed,adaptation,reproduction_unverified,False,"['Scalar constrained l1 optimization is changed to vector group-l1 with approximate ADMM/penalty bisection instead of the source CVX solve.', 'Algorithms 1/3 are now the default relocation path, but their repeated sparse solves still use the vector group-l1 finite-ADMM approximation instead of the source scalar CVX solver.', 'An absolute floating-point jump cutoff remains a solver setting; relative-maximum filtering, degree+1 retention, expanded spacing, and singleton interval search are disabled by default.', 'The final unconstrained spline is now preserved; numerical equivalence with the original scalar objective and author examples remains unverified.']",3708.6627000244334,ValueError: Kang Algorithm 3 interval sparse solve is infeasible at the fixed Algorithm 1 error 5.84569575e-06 (pair 1); no non-paper fallback or tolerance relaxation was applied
IndustrialOffset,industrial_offset_naca_airfoil_v011_o04_p0p0400,luo_linf_de_2022_adaptation,ok,adaptation,reproduction_unverified,False,"['Regularization is selected by a common-MSE search instead of a verified source-paper parameter protocol.', 'DE fitness and the reported spline use endpoint-constrained least squares; a source-native solver/output is not preserved.', 'Minimum-gap projections, random population initialization, and finite DE budgets are unverified implementation choices; the forced-largest-jump fallback is now disabled.', 'The ADMM realization, local-maxima edge cases, and DE variant have no author-code/paper-example equivalence validation.']",7007.585800020024,
